Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,ORB%.1,FT/FGA.1,Team,Season,SeasonType
1.0,1.0,2021-10-21,,DAL,W,113.0,87.0,,109.9,84.6,102.9,0.096,0.372,0.577,47.6,68.9,7.8,18.0,0.559,11.7,13.0,0.085,0.403,13.2,16.9,0.129,ATL,2022,reg
2.0,2.0,2021-10-23,@,CLE,L,95.0,101.0,,99.3,105.6,95.7,0.152,0.343,0.45,50.0,52.6,5.2,4.9,0.434,7.9,28.8,0.091,0.455,9.0,24.5,0.225,ATL,2022,reg
3.0,3.0,2021-10-25,,DET,W,122.0,104.0,,121.3,103.4,100.6,0.233,0.356,0.615,42.4,52.2,10.9,5.2,0.578,13.9,28.6,0.2,0.489,12.4,22.0,0.165,ATL,2022,reg
4.0,4.0,2021-10-27,@,NOP,W,102.0,99.0,,109.6,106.4,93.0,0.177,0.313,0.493,44.4,52.5,4.3,7.0,0.458,9.6,37.5,0.146,0.489,9.3,20.9,0.086,ATL,2022,reg
5.0,5.0,2021-10-28,@,WAS,L,111.0,122.0,,110.2,121.1,100.7,0.159,0.239,0.589,54.3,54.2,4.0,4.6,0.58,12.1,14.0,0.102,0.53,7.7,27.5,0.172,ATL,2022,reg
6.0,6.0,2021-10-30,@,PHI,L,94.0,122.0,,95.6,124.1,98.3,0.2,0.232,0.455,43.0,66.7,6.1,2.1,0.421,15.5,38.5,0.147,0.605,11.3,14.7,0.209,ATL,2022,reg
7.0,7.0,2021-11-01,,WAS,W,118.0,111.0,,126.3,118.8,93.4,0.349,0.41,0.616,43.4,63.2,9.6,10.6,0.536,10.3,31.0,0.349,0.552,11.4,17.1,0.186,ATL,2022,reg
8.0,8.0,2021-11-03,@,BRK,L,108.0,117.0,,107.4,116.3,100.6,0.16,0.372,0.537,44.7,56.1,8.0,10.0,0.505,12.2,25.5,0.138,0.614,14.6,14.9,0.102,ATL,2022,reg
9.0,9.0,2021-11-04,,UTA,L,98.0,116.0,,101.6,120.2,96.5,0.317,0.341,0.524,59.0,51.4,11.4,10.0,0.47,8.8,11.6,0.256,0.611,15.7,22.9,0.21,ATL,2022,reg
10.0,10.0,2021-11-06,@,PHO,L,117.0,121.0,,114.2,118.1,102.4,0.237,0.34,0.546,45.7,42.9,2.9,2.2,0.5,10.1,27.5,0.206,0.591,11.0,12.2,0.193,ATL,2022,reg
11.0,11.0,2021-11-08,@,GSW,L,113.0,127.0,,108.4,121.8,104.3,0.317,0.524,0.605,52.7,55.3,5.8,4.2,0.567,16.2,9.4,0.244,0.576,12.1,23.8,0.228,ATL,2022,reg
12.0,12.0,2021-11-09,@,UTA,L,98.0,110.0,,104.8,117.7,93.5,0.118,0.412,0.548,57.9,59.5,6.4,11.6,0.541,12.7,14.3,0.071,0.599,14.6,23.5,0.16,ATL,2022,reg
13.0,13.0,2021-11-12,@,DEN,L,96.0,105.0,,102.0,111.6,94.1,0.226,0.301,0.469,49.5,52.6,2.1,9.1,0.435,7.3,26.4,0.161,0.5,7.5,21.7,0.167,ATL,2022,reg
14.0,14.0,2021-11-14,,MIL,W,120.0,100.0,,124.9,104.1,96.1,0.134,0.361,0.584,37.0,44.7,6.2,2.3,0.562,11.2,36.6,0.113,0.536,10.8,10.0,0.119,ATL,2022,reg
15.0,15.0,2021-11-15,,ORL,W,129.0,111.0,,127.6,109.8,101.1,0.376,0.353,0.651,47.1,68.1,9.9,13.5,0.635,10.0,23.7,0.247,0.537,13.7,24.5,0.095,ATL,2022,reg
16.0,16.0,2021-11-17,,BOS,W,110.0,99.0,,117.8,106.0,93.4,0.222,0.457,0.619,51.2,68.3,9.6,9.3,0.586,13.6,16.7,0.185,0.506,13.3,26.1,0.167,ATL,2022,reg
17.0,17.0,2021-11-20,,CHO,W,115.0,105.0,,121.0,110.5,95.0,0.256,0.415,0.63,52.6,55.8,6.3,9.7,0.598,11.6,20.5,0.207,0.471,8.4,34.5,0.088,ATL,2022,reg
18.0,18.0,2021-11-22,,OKC,W,113.0,101.0,,121.7,108.8,92.9,0.184,0.391,0.601,53.2,59.5,6.5,10.2,0.563,7.8,19.0,0.172,0.454,8.8,30.8,0.134,ATL,2022,reg
19.0,19.0,2021-11-24,@,SAS,W,124.0,106.0,,126.1,107.8,98.4,0.273,0.295,0.629,50.0,57.8,10.2,7.5,0.58,10.0,21.6,0.25,0.49,10.3,29.4,0.08,ATL,2022,reg
20.0,20.0,2021-11-26,@,MEM,W,132.0,100.0,,132.5,100.4,99.6,0.236,0.303,0.672,42.4,63.5,8.0,9.4,0.657,10.9,25.7,0.169,0.473,11.6,20.0,0.154,ATL,2022,reg
21.0,21.0,2021-11-27,,NYK,L,90.0,99.0,,97.2,106.9,92.6,0.215,0.398,0.442,49.0,54.5,8.6,11.3,0.403,6.4,23.6,0.161,0.506,9.8,17.0,0.195,ATL,2022,reg
22.0,22.0,2021-12-01,@,IND,W,114.0,111.0,,118.3,115.2,96.4,0.14,0.384,0.624,49.4,54.5,4.2,14.0,0.605,12.5,17.9,0.116,0.544,9.3,19.0,0.144,ATL,2022,reg
23.0,23.0,2021-12-03,,PHI,L,96.0,98.0,,104.7,106.8,91.7,0.395,0.368,0.538,46.0,64.5,5.5,5.1,0.474,14.4,24.4,0.316,0.525,11.1,14.3,0.16,ATL,2022,reg
24.0,24.0,2021-12-05,,CHO,L,127.0,130.0,,129.7,132.8,97.9,0.194,0.398,0.629,46.4,60.4,4.1,6.1,0.608,9.8,23.8,0.151,0.634,5.8,16.7,0.244,ATL,2022,reg
25.0,25.0,2021-12-06,@,MIN,W,121.0,110.0,,126.4,114.9,95.7,0.211,0.544,0.615,50.5,77.5,5.2,13.8,0.583,10.9,24.4,0.178,0.485,7.0,29.6,0.153,ATL,2022,reg
26.0,26.0,2021-12-10,,BRK,L,105.0,113.0,,104.5,112.5,100.4,0.255,0.362,0.502,45.6,56.8,10.0,4.3,0.452,12.5,33.3,0.213,0.527,12.3,21.4,0.161,ATL,2022,reg
27.0,27.0,2021-12-13,,HOU,L,126.0,132.0,,123.8,129.6,101.8,0.365,0.459,0.639,52.9,47.6,8.8,12.0,0.582,10.8,19.5,0.318,0.578,9.3,27.3,0.219,ATL,2022,reg
28.0,28.0,2021-12-15,@,ORL,W,111.0,99.0,,112.4,100.2,98.8,0.188,0.365,0.603,53.5,59.5,11.1,9.1,0.559,12.4,15.0,0.188,0.444,14.6,26.1,0.211,ATL,2022,reg
29.0,29.0,2021-12-17,,DEN,L,115.0,133.0,,109.3,126.4,105.2,0.386,0.273,0.558,50.7,53.7,5.7,6.3,0.506,12.7,22.7,0.295,0.68,15.3,12.9,0.186,ATL,2022,reg
30.0,30.0,2021-12-22,,ORL,L,98.0,104.0,,105.5,111.9,92.9,0.363,0.388,0.528,44.9,65.6,4.3,16.7,0.475,13.1,28.9,0.275,0.512,9.5,18.2,0.2,ATL,2022,reg
31.0,31.0,2021-12-23,@,PHI,W,98.0,96.0,,107.9,105.7,90.9,0.232,0.293,0.542,45.2,54.1,5.5,7.5,0.494,15.0,26.8,0.207,0.45,8.0,18.6,0.3,ATL,2022,reg
32.0,32.0,2021-12-25,@,NYK,L,87.0,101.0,,93.9,109.0,92.7,0.161,0.437,0.467,52.1,69.7,8.6,14.3,0.454,11.4,16.3,0.092,0.565,10.0,19.1,0.059,ATL,2022,reg
33.0,33.0,2021-12-27,,CHI,L,118.0,130.0,,119.9,132.1,98.4,0.292,0.382,0.587,49.4,55.0,3.0,8.8,0.534,9.1,23.9,0.258,0.638,9.1,20.9,0.106,ATL,2022,reg
34.0,34.0,2021-12-29,@,CHI,L,117.0,131.0,,115.0,128.7,101.8,0.283,0.283,0.566,52.6,59.1,5.9,4.8,0.538,9.6,22.2,0.196,0.679,13.8,18.2,0.202,ATL,2022,reg
35.0,35.0,2021-12-31,@,CLE,W,121.0,118.0,,129.9,126.7,93.2,0.216,0.392,0.569,51.1,53.5,8.6,6.8,0.526,1.8,26.9,0.196,0.619,8.7,21.1,0.167,ATL,2022,reg
36.0,36.0,2022-01-03,@,POR,L,131.0,136.0,,132.4,137.5,98.9,0.273,0.466,0.665,51.3,64.6,6.1,2.1,0.625,11.7,23.7,0.239,0.629,9.0,28.6,0.27,ATL,2022,reg
