Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team,Season,SeasonType
1,Trae Young,23,PG,76,76,34.9,9.4,20.3,0.46,3.1,8.0,0.382,6.3,12.3,0.512,0.536,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4,"AS,NBA3",ATL,2022,reg
2,John Collins,24,PF,54,53,30.8,6.3,11.9,0.526,1.2,3.3,0.364,5.1,8.7,0.588,0.576,2.5,3.1,0.793,1.7,6.1,7.8,1.8,0.6,1.0,1.1,3.0,16.2,,ATL,2022,reg
3,De'Andre Hunter,24,SF,53,52,29.8,4.8,10.8,0.442,1.4,3.7,0.379,3.4,7.2,0.474,0.506,2.4,3.1,0.765,0.5,2.8,3.3,1.3,0.7,0.4,1.3,2.9,13.4,,ATL,2022,reg
4,Kevin Huerter,23,SF,74,60,29.6,4.7,10.3,0.454,2.2,5.6,0.389,2.5,4.7,0.53,0.559,0.6,0.7,0.808,0.4,3.0,3.4,2.7,0.7,0.4,1.2,2.5,12.1,,ATL,2022,reg
5,Bogdan BogdanoviÄ,29,SG,63,27,29.3,5.4,12.6,0.431,2.7,7.3,0.368,2.7,5.3,0.516,0.537,1.5,1.8,0.843,0.5,3.5,4.0,3.1,1.1,0.2,1.1,2.1,15.1,6MOY-6,ATL,2022,reg
6,Chaundee Brown Jr.,23,SG,3,2,27.7,3.0,8.3,0.36,2.0,5.0,0.4,1.0,3.3,0.3,0.48,1.7,2.0,0.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7,,ATL,2022,reg
7,Clint Capela,27,C,74,73,27.6,5.0,8.2,0.613,0.0,0.0,0.0,5.0,8.1,0.614,0.613,1.1,2.3,0.473,3.8,8.1,11.9,1.2,0.7,1.3,0.6,2.2,11.1,,ATL,2022,reg
8,Wes Iwundu,27,SF,3,1,27.3,2.7,6.0,0.444,1.0,1.7,0.6,1.7,4.3,0.385,0.528,1.0,1.3,0.75,1.0,3.3,4.3,0.0,0.3,0.0,0.3,2.7,7.3,,ATL,2022,reg
9,Danilo Gallinari,33,PF,66,18,25.3,3.9,9.0,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,,ATL,2022,reg
10,Cam Reddish,22,SF,34,7,23.4,4.1,10.1,0.402,1.7,4.5,0.379,2.4,5.6,0.421,0.487,2.1,2.4,0.9,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.9,,ATL,2022,reg
11,Cameron Oliver,25,SF,2,0,21.5,5.0,7.5,0.667,0.5,1.5,0.333,4.5,6.0,0.75,0.7,1.0,1.5,0.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5,,ATL,2022,reg
12,Onyeka Okongwu,21,C,48,6,20.7,3.3,4.7,0.69,0.0,0.0,,3.3,4.7,0.69,0.69,1.7,2.3,0.727,2.4,3.5,5.9,1.1,0.6,1.3,0.9,3.1,8.2,,ATL,2022,reg
13,Delon Wright,29,SG,77,8,18.9,1.6,3.5,0.454,0.6,1.5,0.379,1.0,2.0,0.51,0.535,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,,ATL,2022,reg
14,Malcolm Hill,26,SG,3,0,15.3,1.7,2.7,0.625,1.0,1.7,0.6,0.7,1.0,0.667,0.813,1.3,1.3,1.0,0.7,1.3,2.0,0.3,1.3,0.3,0.0,2.3,5.7,,ATL,2022,reg
15,Lou Williams,35,PG,56,0,14.3,2.2,5.7,0.391,0.7,1.8,0.363,1.6,3.9,0.404,0.448,1.2,1.4,0.859,0.3,1.3,1.6,1.9,0.5,0.1,0.8,0.9,6.3,,ATL,2022,reg
16,TimothÃ© Luwawu-Cabarrot,26,SF,52,18,13.2,1.4,3.6,0.398,0.8,2.3,0.361,0.6,1.2,0.469,0.516,0.7,0.8,0.854,0.3,1.3,1.6,0.8,0.3,0.1,0.4,1.5,4.4,,ATL,2022,reg
